,Pustular Mat  1,Pustular Mat  2,Pustular Mat  3,Pustular Mat  4,Pustular Mat  5,Smooth Mat 1,Smooth Mat 2,Smooth Mat 3,Smooth Mat 4,Smooth Mat 5
K03246,0,0,0,0,1,0,0,0,1,1
K03251,2,0,0,0,0,1,0,0,0,0
K03254,0,0,0,1,0,2,0,0,0,0
K03259,0,0,0,1,0,0,0,0,2,0
K03260,0,0,2,0,0,0,0,0,1,0
K03267,0,0,0,0,1,1,0,0,1,0
K03270,0,0,1,0,0,0,0,0,1,1
K03274,0,0,0,0,1,0,0,1,0,1
K03314,0,0,0,0,0,3,0,0,0,0
K03322,0,0,0,0,0,3,0,0,0,0
K03324,0,0,1,0,0,0,2,0,0,0
K03347,0,1,0,1,1,0,0,0,0,0
K03359,2,0,0,0,0,0,0,1,0,0
K03381,2,0,0,1,0,0,0,0,0,0
K03426,0,0,1,0,0,0,2,0,0,0
K03436,0,0,1,0,0,0,0,1,0,1
K03445,0,0,2,0,0,0,0,1,0,0
K03450,0,0,0,1,0,1,0,1,0,0
K03650,0,0,0,0,0,2,0,0,1,0
K03721,0,0,1,0,2,0,0,0,0,0
K03748,0,0,0,0,0,1,0,1,1,0
K03761,0,0,1,0,0,0,2,0,0,0
K03789,0,0,1,0,0,2,0,0,0,0
K03800,0,0,0,1,0,0,0,2,0,0
K03805,2,0,1,0,0,0,0,0,0,0
K03817,2,0,0,0,0,0,0,0,0,1
K03818,2,0,0,0,0,0,0,1,0,0
K03855,2,0,1,0,0,0,0,0,0,0
K03880,2,0,1,0,0,0,0,0,0,0
K03893,0,0,0,1,0,2,0,0,0,0
K03921,2,0,0,1,0,0,0,0,0,0
K03928,0,0,1,0,0,0,2,0,0,0
K03931,0,0,0,0,1,0,0,1,0,1
K03936,0,0,0,1,0,1,0,1,0,0
K03940,0,0,0,1,0,1,0,0,0,1
K03941,0,1,0,0,0,1,0,1,0,0
K03976,0,1,2,0,0,0,0,0,0,0
K03984,0,0,3,0,0,0,0,0,0,0
K04020,0,0,1,0,0,0,0,1,1,0
K04068,0,0,2,0,1,0,0,0,0,0
K04086,0,0,1,0,0,1,0,1,0,0
K04092,0,0,0,0,0,0,2,1,0,0
K04093,0,0,0,0,0,0,2,1,0,0
K04099,0,0,2,0,0,1,0,0,0,0
K04101,0,0,2,0,0,1,0,0,0,0
K04114,0,0,0,0,0,0,0,2,1,0
K04116,0,0,0,0,1,0,0,1,0,1
K04257,0,0,2,0,0,1,0,0,0,0
K04338,0,0,0,0,0,0,2,0,0,1
K04372,0,0,0,0,0,2,0,0,0,1
K04412,2,0,0,0,0,1,0,0,0,0
K04456,0,0,0,2,1,0,0,0,0,0
K04486,0,0,0,0,0,0,2,0,1,0
K04494,0,0,0,0,1,2,0,0,0,0
K04498,0,0,0,0,1,1,0,0,1,0
K04507,0,0,0,0,1,2,0,0,0,0
K04514,0,0,0,0,0,0,2,1,0,0
K04525,0,0,3,0,0,0,0,0,0,0
K04632,0,0,0,0,1,0,0,2,0,0
K04650,0,0,0,0,0,2,0,1,0,0
K04688,0,0,0,2,1,0,0,0,0,0
K04706,0,0,0,1,0,1,0,1,0,0
K04719,0,0,0,1,1,0,0,0,0,1
K04788,0,0,0,0,1,0,2,0,0,0
K04789,0,0,0,0,1,0,2,0,0,0
K04855,0,0,0,0,0,1,2,0,0,0
K04936,0,0,0,1,0,2,0,0,0,0
K05016,2,0,0,0,0,0,0,0,0,1
K05119,0,0,0,1,0,0,2,0,0,0
K05298,2,0,0,0,1,0,0,0,0,0
K05305,0,0,0,1,0,0,0,2,0,0
K05346,0,0,3,0,0,0,0,0,0,0
K05363,0,0,0,0,0,0,2,0,0,1
K05396,0,0,0,1,1,0,0,0,0,1
K05518,0,0,0,0,0,0,0,2,1,0
K05539,2,0,0,0,1,0,0,0,0,0
K05555,0,1,0,0,0,2,0,0,0,0
K05591,2,0,0,1,0,0,0,0,0,0
K05613,0,0,0,0,0,0,2,0,0,1
K05628,0,0,0,0,0,0,2,1,0,0
K05642,0,0,0,0,0,0,2,1,0,0
K05665,2,0,0,0,1,0,0,0,0,0
K05747,0,0,0,1,0,2,0,0,0,0
K05767,0,0,0,0,1,2,0,0,0,0
K05772,0,0,0,0,0,0,2,0,0,1
K05776,0,0,1,0,0,0,2,0,0,0
K05780,0,0,0,2,0,0,0,0,0,1
K05785,0,0,0,0,0,2,0,0,0,1
K05796,0,0,0,0,0,1,0,1,0,1
K05804,0,0,0,1,0,0,0,2,0,0
K05812,0,0,1,0,0,0,2,0,0,0
K05824,0,1,0,0,0,0,2,0,0,0
K05831,0,0,0,0,1,0,0,1,0,1
K05869,0,0,0,0,0,1,2,0,0,0
K05887,0,0,0,0,1,0,0,0,1,1
K05916,0,0,2,0,0,1,0,0,0,0
K05929,0,0,0,0,0,0,2,0,0,1
K05936,2,1,0,0,0,0,0,0,0,0
K05979,0,0,0,0,3,0,0,0,0,0
K05982,0,0,0,1,1,0,0,1,0,0
K05985,0,0,0,0,0,1,2,0,0,0
K05991,0,0,1,0,0,0,0,1,1,0
K06049,0,0,0,3,0,0,0,0,0,0
K06051,0,0,0,0,0,0,0,0,1,2
K06063,0,0,0,0,1,2,0,0,0,0
K06165,0,0,0,2,0,1,0,0,0,0
K06174,0,0,0,0,2,1,0,0,0,0
K06197,2,0,0,0,0,0,0,1,0,0
K06199,0,0,0,0,0,0,2,0,0,1
K06249,2,0,1,0,0,0,0,0,0,0
K06252,0,0,2,0,0,0,0,1,0,0
K06278,2,0,0,0,0,0,0,0,0,1
K06320,0,0,0,0,0,0,0,0,2,1
K06418,0,0,0,0,0,3,0,0,0,0
K06421,0,0,0,0,0,3,0,0,0,0
K06603,0,0,0,0,0,1,0,0,2,0
K06620,0,0,0,0,0,1,2,0,0,0
K06671,0,0,0,1,0,0,2,0,0,0
K06698,0,0,0,0,0,1,2,0,0,0
K06766,0,0,0,1,0,2,0,0,0,0
K06857,0,0,0,0,0,0,2,1,0,0
K06878,2,0,0,0,0,0,0,1,0,0
K06879,0,0,0,1,0,2,0,0,0,0
K06933,0,0,0,0,0,1,2,0,0,0
K06934,0,0,0,0,0,0,2,1,0,0
K06943,0,0,0,1,0,0,0,0,0,2
K06953,0,0,1,0,0,0,2,0,0,0
K06962,0,0,0,1,2,0,0,0,0,0
K06980,0,0,2,1,0,0,0,0,0,0
K06998,0,0,0,0,1,0,2,0,0,0
K07009,0,0,0,0,0,0,0,3,0,0
K07066,0,0,0,0,0,0,0,3,0,0
K07085,0,0,2,0,0,0,0,0,1,0
K07102,0,0,2,0,0,0,0,1,0,0
K07127,2,0,0,0,1,0,0,0,0,0
K07140,0,0,1,0,1,0,0,1,0,0
K07159,2,0,0,0,1,0,0,0,0,0
K07169,0,0,0,1,0,0,0,0,0,2
K07172,0,0,0,0,0,2,0,0,1,0
K07190,2,0,0,0,1,0,0,0,0,0
K07220,2,0,0,0,1,0,0,0,0,0
K07235,0,0,0,1,0,0,0,1,1,0
K07236,0,0,0,1,0,1,0,0,1,0
K07243,0,0,2,0,0,1,0,0,0,0
K07258,0,0,1,1,1,0,0,0,0,0
K07290,0,0,0,1,0,0,0,0,2,0
K07422,0,0,0,0,0,0,2,1,0,0
K07473,0,0,2,0,0,0,0,0,0,1
K07476,0,0,0,0,0,1,2,0,0,0
K07509,0,0,0,1,2,0,0,0,0,0
K07514,0,0,3,0,0,0,0,0,0,0
K07526,0,0,0,0,0,0,2,1,0,0
K07539,0,0,0,0,0,0,2,0,1,0
K07586,0,0,1,1,0,1,0,0,0,0
K07647,0,0,0,1,1,0,0,0,0,1
K07677,0,0,3,0,0,0,0,0,0,0
K07681,0,0,0,0,0,0,2,0,0,1
K07685,2,0,1,0,0,0,0,0,0,0
K07716,2,0,0,0,1,0,0,0,0,0
K07729,0,1,0,1,0,1,0,0,0,0
K07760,0,0,0,0,0,1,2,0,0,0
K07772,2,0,0,1,0,0,0,0,0,0
K07778,0,0,1,0,1,0,0,0,0,1
K07823,2,0,0,0,0,0,0,0,0,1
K07881,0,0,0,0,0,0,0,1,2,0
K07883,0,0,0,0,0,0,2,1,0,0
K07938,0,1,0,0,0,0,2,0,0,0
K08074,0,0,0,0,0,0,2,0,0,1
K08081,0,0,2,0,0,0,0,0,1,0
K08160,0,0,3,0,0,0,0,0,0,0
K08218,0,0,3,0,0,0,0,0,0,0
K08220,0,0,0,0,0,1,2,0,0,0
K08255,0,0,0,1,2,0,0,0,0,0
K08269,0,0,0,0,1,0,0,2,0,0
K08289,0,0,1,0,0,2,0,0,0,0
K08296,0,0,0,0,1,0,2,0,0,0
K08297,0,0,0,0,0,2,0,0,0,1
K08318,2,0,1,0,0,0,0,0,0,0
K08321,0,0,0,0,0,0,2,1,0,0
K08323,0,0,0,0,2,0,0,1,0,0
K08326,0,0,0,0,0,3,0,0,0,0
K08350,0,0,0,2,1,0,0,0,0,0
K08368,0,0,0,0,0,0,0,2,1,0
K08369,0,0,1,0,0,0,0,2,0,0
K08485,0,0,2,0,0,0,0,0,1,0
K08605,0,0,0,0,1,0,0,1,0,1
K08643,0,0,1,0,0,0,2,0,0,0
K08691,0,0,0,1,0,0,0,2,0,0
K08701,2,0,0,1,0,0,0,0,0,0
K08764,0,0,0,1,0,2,0,0,0,0
K08798,0,0,1,0,0,0,2,0,0,0
K08805,0,0,0,0,0,0,2,1,0,0
K08815,0,0,1,0,0,2,0,0,0,0
K08825,2,0,0,0,0,1,0,0,0,0
K08826,0,0,0,0,1,0,0,1,1,0
K08844,0,0,0,0,1,0,0,0,2,0
K08864,0,0,0,0,0,1,0,2,0,0
K08867,2,0,0,0,1,0,0,0,0,0
K08892,0,0,0,1,0,1,0,0,0,1
K08906,0,0,0,1,0,0,0,0,2,0
K08907,0,0,0,1,1,0,0,0,1,0
K08959,2,0,0,0,0,0,0,1,0,0
K08960,2,0,0,0,0,0,0,1,0,0
K09116,0,0,0,0,0,1,0,1,0,1
K09125,0,0,1,2,0,0,0,0,0,0
K09157,0,0,1,0,1,0,0,1,0,0
K09420,2,0,0,0,0,1,0,0,0,0
K09457,0,0,0,1,0,2,0,0,0,0
K09495,0,0,0,1,0,0,0,1,1,0
K09497,0,0,0,0,0,0,0,1,1,1
K09502,0,0,0,0,0,3,0,0,0,0
K09506,0,0,0,0,0,2,0,1,0,0
K09510,0,0,0,0,1,2,0,0,0,0
K09542,0,0,0,1,0,0,0,0,0,2
K09552,2,0,0,0,0,0,0,0,1,0
K09575,0,0,1,0,0,1,0,0,0,1
K09602,0,0,0,0,0,0,2,0,1,0
K09681,2,0,0,0,0,0,0,1,0,0
K09688,2,0,0,0,0,1,0,0,0,0
K09689,0,0,1,1,0,1,0,0,0,0
K09793,0,0,0,1,0,0,0,1,0,1
K09828,0,0,0,0,0,0,0,2,1,0
K09913,0,0,2,0,0,1,0,0,0,0
K09931,0,0,0,1,2,0,0,0,0,0
K09955,0,0,0,1,0,1,0,0,1,0
K09967,0,0,0,0,1,1,0,0,0,1
K09987,0,1,0,1,0,1,0,0,0,0
K09989,0,0,0,0,0,1,0,1,0,1
K10002,0,0,3,0,0,0,0,0,0,0
K10004,0,0,1,0,0,1,0,1,0,0
K10041,0,0,0,0,0,0,2,1,0,0
K10046,0,0,0,0,1,0,0,0,2,0
K10110,0,0,0,0,1,0,0,2,0,0
K10122,0,0,0,0,0,0,0,0,0,3
K10133,2,0,1,0,0,0,0,0,0,0
K10228,2,0,0,0,1,0,0,0,0,0
K10241,0,0,0,1,0,0,2,0,0,0
K10260,2,0,0,0,0,0,0,0,0,1
K10364,0,1,0,0,2,0,0,0,0,0
K10481,0,0,0,0,0,0,2,1,0,0
K10536,0,0,0,0,0,1,2,0,0,0
K10558,0,0,0,0,0,1,0,0,2,0
K10560,0,0,0,1,0,0,0,0,1,1
K10599,2,0,0,0,1,0,0,0,0,0
K10609,0,0,0,1,0,1,0,1,0,0
K10610,2,0,0,1,0,0,0,0,0,0
K10621,0,1,0,1,1,0,0,0,0,0
K10679,0,0,2,0,0,0,0,0,1,0
K10691,0,0,0,0,0,3,0,0,0,0
K10693,2,0,0,0,1,0,0,0,0,0
K10695,2,0,0,0,0,0,0,0,1,0
K10703,2,0,0,0,0,1,0,0,0,0
K10706,0,0,0,1,0,2,0,0,0,0
K10756,0,0,0,0,2,0,0,1,0,0
K10760,0,0,0,0,2,0,0,0,1,0
K10770,2,0,0,0,0,1,0,0,0,0
K10774,0,0,0,1,0,2,0,0,0,0
K10776,0,0,0,0,0,1,2,0,0,0
K10797,0,0,0,0,0,2,0,1,0,0
K10805,0,0,1,2,0,0,0,0,0,0
K10807,0,0,0,0,0,1,0,1,0,1
K10808,2,0,0,0,0,1,0,0,0,0
K10816,0,0,0,0,0,0,0,3,0,0
K10896,0,0,0,0,0,0,2,0,0,1
K10901,0,0,1,0,0,0,2,0,0,0
K10921,0,0,0,1,0,0,2,0,0,0
K10950,0,0,0,0,0,0,2,0,0,1
K10974,2,0,1,0,0,0,0,0,0,0
K10976,0,0,0,0,0,0,2,0,0,1
K10977,0,0,0,0,0,0,0,3,0,0
K11031,0,0,0,0,0,1,0,2,0,0
K11076,0,0,2,0,0,0,0,0,0,1
K11124,0,0,0,0,0,0,0,3,0,0
K11136,2,0,0,0,1,0,0,0,0,0
K11142,2,0,0,1,0,0,0,0,0,0
K11159,2,0,0,0,0,0,0,0,1,0
K11194,0,0,1,0,0,0,2,0,0,0
K11216,0,0,0,0,0,1,0,2,0,0
K11233,0,0,0,0,1,1,0,0,0,1
K11260,0,0,0,0,0,0,0,2,0,1
K11261,0,0,0,0,0,0,0,1,1,1
K11267,0,0,0,0,0,2,0,1,0,0
K11276,0,0,3,0,0,0,0,0,0,0
K11357,0,0,0,1,1,0,0,1,0,0
K11385,0,0,0,0,0,3,0,0,0,0
K11387,0,0,0,0,0,3,0,0,0,0
K11411,0,0,0,1,0,1,0,1,0,0
K11426,0,0,0,0,0,0,2,1,0,0
K11467,0,0,1,0,0,1,0,1,0,0
K11477,0,0,0,2,0,0,0,1,0,0
K11485,0,0,1,0,0,1,0,1,0,0
K11486,0,0,1,0,0,1,0,1,0,0
K11529,0,0,0,0,0,0,0,0,0,3
K11611,0,0,0,0,0,0,2,1,0,0
K11617,0,0,0,0,0,0,2,0,0,1
K11624,2,0,0,0,1,0,0,0,0,0
K11643,0,0,0,0,2,0,0,1,0,0
K11646,0,0,0,0,0,0,0,1,2,0
K11654,0,0,0,0,1,0,0,0,2,0
K11658,2,0,0,0,0,1,0,0,0,0
K11659,0,0,0,1,0,0,2,0,0,0
K11661,0,0,1,0,0,2,0,0,0,0
K11693,0,0,0,0,0,0,2,0,0,1
K11747,0,0,2,0,0,0,0,0,1,0
K11781,0,0,0,0,1,2,0,0,0,0
K11785,0,1,0,0,1,1,0,0,0,0
K11843,0,0,2,0,0,1,0,0,0,0
K11894,0,0,0,1,0,0,0,0,0,2
K11895,0,0,0,0,1,1,0,0,1,0
K11913,0,0,0,1,0,0,0,0,0,2
K11936,0,0,2,1,0,0,0,0,0,0
K11961,0,0,3,0,0,0,0,0,0,0
K11969,0,0,0,1,0,2,0,0,0,0
K11972,0,0,0,1,0,2,0,0,0,0
K11984,0,0,0,0,0,1,2,0,0,0
K12111,0,0,1,0,0,0,2,0,0,0
K12139,0,0,0,0,0,0,0,1,1,1
K12172,0,0,0,0,0,2,0,0,1,0
K12185,0,0,0,0,1,0,2,0,0,0
K12192,0,0,0,0,1,1,0,0,1,0
K12231,2,0,0,0,0,1,0,0,0,0
K12234,0,0,0,0,0,0,0,2,0,1
K12252,0,0,1,2,0,0,0,0,0,0
K12283,0,0,0,0,0,0,2,0,0,1
K12296,0,0,0,0,0,2,0,1,0,0
K12316,0,0,0,1,0,2,0,0,0,0
K12317,0,0,0,0,0,3,0,0,0,0
K12372,0,0,0,0,0,1,2,0,0,0
K12376,0,0,0,0,0,1,2,0,0,0
K12385,0,0,0,1,0,1,0,0,1,0
K12391,0,0,0,0,0,0,0,3,0,0
K12443,0,0,1,1,0,0,0,1,0,0
K12444,0,0,0,2,0,0,0,1,0,0
K12450,0,0,0,0,0,1,2,0,0,0
K12471,0,0,0,1,2,0,0,0,0,0
K12507,0,0,0,0,1,0,0,1,0,1
K12526,0,0,0,0,0,0,0,1,0,2
K12528,0,0,0,0,1,0,0,2,0,0
K12543,0,0,0,0,1,0,2,0,0,0
K12581,0,0,1,2,0,0,0,0,0,0
K12601,2,0,0,0,0,0,0,0,1,0
K12620,0,0,0,0,1,2,0,0,0,0
K12668,0,0,0,0,0,1,2,0,0,0
K12685,0,0,1,0,0,1,0,0,0,1
K12812,2,0,0,0,0,1,0,0,0,0
K12816,0,0,0,0,0,2,0,1,0,0
K12841,2,0,0,1,0,0,0,0,0,0
K12849,0,0,1,0,0,0,2,0,0,0
K12850,0,0,0,0,0,3,0,0,0,0
K12853,0,0,0,0,1,2,0,0,0,0
K12860,2,0,0,0,0,0,0,0,0,1
K12891,0,0,0,0,0,3,0,0,0,0
K12961,0,0,1,0,0,0,0,1,1,0
K12987,0,0,0,1,0,0,0,2,0,0
K12996,0,0,0,0,1,0,2,0,0,0
K13007,0,1,1,0,0,1,0,0,0,0
K13009,0,0,0,1,0,0,2,0,0,0
K13017,0,0,0,0,0,1,0,1,1,0
K13040,0,0,0,1,0,1,0,1,0,0
K13075,2,0,0,0,1,0,0,0,0,0
K13179,0,0,0,0,0,2,0,0,0,1
K13181,0,0,0,1,1,0,0,1,0,0
K13182,2,0,0,0,0,1,0,0,0,0
K13184,0,0,0,1,1,0,0,0,1,0
K13304,0,0,0,2,1,0,0,0,0,0
K13380,0,0,0,1,0,1,0,1,0,0
K13411,0,0,0,0,1,1,0,1,0,0
K13531,0,0,0,0,0,2,0,1,0,0
K13532,0,0,1,2,0,0,0,0,0,0
K13540,0,0,1,0,0,1,0,0,0,1
K13619,0,0,0,0,0,3,0,0,0,0
K13633,2,0,0,0,0,1,0,0,0,0
K13642,0,0,3,0,0,0,0,0,0,0
K13688,0,0,0,1,0,2,0,0,0,0
K13694,0,0,0,0,0,0,2,1,0,0
K13695,0,0,0,0,0,0,2,1,0,0
K13711,0,0,0,0,0,0,2,1,0,0
K13712,0,0,0,0,0,3,0,0,0,0
K13766,0,0,0,0,0,2,0,0,0,1
K13767,0,0,0,1,0,0,0,1,0,1
K13778,0,0,2,0,0,1,0,0,0,0
K13815,0,1,0,0,0,0,0,0,2,0
K13880,0,0,0,0,0,1,2,0,0,0
K13891,0,1,1,1,0,0,0,0,0,0
K13937,0,0,0,0,0,0,0,3,0,0
K13988,0,0,1,1,0,1,0,0,0,0
K14002,0,0,0,0,0,3,0,0,0,0
K14058,0,0,2,0,0,0,0,0,0,1
K14088,0,0,0,0,0,0,0,1,2,0
K14157,0,0,0,0,1,2,0,0,0,0
K14163,0,0,0,0,0,2,0,0,1,0
K14165,0,0,0,1,1,0,0,0,1,0
K14191,0,0,0,0,1,2,0,0,0,0
K14289,0,0,0,0,0,1,2,0,0,0
K14376,0,0,0,0,0,1,0,0,0,2
K14427,0,0,0,1,0,0,2,0,0,0
K14438,0,0,0,0,1,2,0,0,0,0
K14439,2,0,0,0,0,1,0,0,0,0
K14442,2,0,0,0,0,0,0,0,1,0
K14449,0,0,0,0,1,1,0,1,0,0
K14455,2,0,0,0,1,0,0,0,0,0
K14561,0,0,0,0,0,0,2,0,1,0
K14567,0,0,0,0,0,2,0,1,0,0
K14616,0,0,0,0,0,2,0,1,0,0
K14644,0,0,0,0,0,1,2,0,0,0
K14753,0,0,0,0,0,2,0,0,0,1
K14767,0,0,0,0,0,3,0,0,0,0
K14773,0,0,0,1,0,1,0,1,0,0
K14806,2,0,0,0,0,1,0,0,0,0
K14820,0,0,0,0,0,0,2,0,1,0
K14948,0,0,0,0,0,0,2,1,0,0
K14964,0,0,1,0,0,1,0,1,0,0
K14967,0,0,1,0,0,1,0,1,0,0
K14981,0,0,0,0,1,1,0,0,1,0
K14998,0,1,1,1,0,0,0,0,0,0
K15019,2,0,0,0,0,0,0,1,0,0
K15036,0,0,0,0,2,0,0,0,1,0
K15085,2,0,0,0,0,0,0,0,0,1
K15151,2,0,0,0,1,0,0,0,0,0
K15198,0,0,0,0,0,3,0,0,0,0
K15276,0,0,0,2,0,1,0,0,0,0
K15305,0,1,0,0,0,0,2,0,0,0
K15357,0,0,0,1,2,0,0,0,0,0
K15395,0,0,0,0,2,0,0,0,0,1
K15396,0,0,1,1,1,0,0,0,0,0
K15496,0,0,2,0,0,0,0,0,0,1
K15528,0,0,0,0,1,2,0,0,0,0
K15542,0,0,0,0,2,0,0,0,1,0
K15585,2,0,1,0,0,0,0,0,0,0
K15630,0,0,0,0,0,1,2,0,0,0
K15637,2,0,0,0,0,0,0,1,0,0
K15675,0,0,0,1,0,0,2,0,0,0
K15677,0,0,0,0,1,0,0,1,0,1
K15736,0,1,2,0,0,0,0,0,0,0
K15745,0,0,0,0,0,0,2,0,1,0
K15781,0,0,0,0,1,0,0,2,0,0
K15891,0,0,0,0,0,0,2,1,0,0
K15922,0,0,0,0,0,1,2,0,0,0
K15979,0,0,0,0,1,1,0,0,0,1
K16044,0,0,0,0,0,1,0,1,1,0
K16125,0,0,0,1,0,0,0,1,1,0
K16175,0,0,0,0,1,0,2,0,0,0
K16185,0,0,0,0,0,2,0,1,0,0
K16191,0,0,1,1,0,0,0,0,1,0
K16238,0,0,3,0,0,0,0,0,0,0
K16267,0,0,1,0,1,0,0,1,0,0
K16370,0,0,2,0,0,1,0,0,0,0
K16566,0,0,0,0,0,0,0,0,0,3
K16567,2,0,0,0,1,0,0,0,0,0
K16575,0,0,0,0,0,1,0,1,1,0
K16646,0,0,0,0,0,2,0,0,0,1
K16700,2,0,1,0,0,0,0,0,0,0
K16707,0,0,0,0,0,0,0,0,0,3
K16792,0,0,0,0,1,0,0,2,0,0
K16839,2,0,0,1,0,0,0,0,0,0
K16857,2,0,0,0,0,0,0,0,0,1
K16870,0,1,2,0,0,0,0,0,0,0
K16880,2,0,0,0,0,1,0,0,0,0
K16905,0,0,0,1,1,0,0,1,0,0
K16922,0,0,0,0,1,0,2,0,0,0
K16926,0,0,3,0,0,0,0,0,0,0
K17073,0,0,0,1,0,0,2,0,0,0
K17074,0,0,0,1,0,0,2,0,0,0
K17087,0,0,0,0,1,2,0,0,0,0
K17093,0,0,0,0,0,2,0,0,0,1
K17096,0,0,0,0,0,2,0,0,0,1
K17206,2,0,1,0,0,0,0,0,0,0
K17228,2,0,0,0,0,0,0,0,1,0
K17229,0,0,0,1,0,0,0,0,1,1
K17234,0,0,0,0,1,0,0,1,0,1
K17237,0,0,0,0,0,1,0,0,0,2
K17257,0,0,0,0,0,2,0,1,0,0
K17260,2,0,0,0,0,0,0,0,1,0
K17286,0,0,0,1,0,0,2,0,0,0
K17322,0,0,1,0,0,0,0,1,0,1
K17323,2,0,1,0,0,0,0,0,0,0
K17421,0,0,0,0,0,2,0,1,0,0
K17478,0,0,0,0,0,3,0,0,0,0
K17530,0,0,0,0,1,0,2,0,0,0
K17582,0,0,0,0,0,3,0,0,0,0
K17591,2,0,0,1,0,0,0,0,0,0
K17624,2,0,1,0,0,0,0,0,0,0
K17723,0,0,0,0,1,0,0,0,1,1
K17732,0,0,0,0,1,0,0,2,0,0
K17750,0,0,0,1,0,0,0,2,0,0
K17822,0,0,0,0,0,1,0,0,1,1
K17893,0,0,0,0,0,0,0,0,3,0
K17959,0,0,0,0,0,0,2,1,0,0
K17993,0,0,0,0,0,0,0,3,0,0
K18013,0,0,0,0,0,0,0,3,0,0
K18030,0,0,0,0,0,0,0,2,0,1
K18081,0,0,0,0,1,1,0,0,0,1
K18094,0,0,1,0,0,1,0,0,0,1
K18095,0,0,3,0,0,0,0,0,0,0
K18143,0,0,0,1,0,0,2,0,0,0
K18158,0,0,0,0,0,0,0,2,1,0
K18200,0,0,0,0,0,1,2,0,0,0
K18210,0,0,2,0,0,1,0,0,0,0
K18230,0,0,2,0,0,1,0,0,0,0
K18232,2,0,0,0,0,1,0,0,0,0
K18240,2,0,0,0,1,0,0,0,0,0
K18302,0,0,0,0,0,1,2,0,0,0
K18303,0,0,2,0,0,0,0,1,0,0
K18326,0,0,3,0,0,0,0,0,0,0
K18335,0,0,0,0,1,1,0,0,0,1
K18349,0,0,2,0,0,0,0,0,0,1
K18429,0,0,0,1,0,1,0,0,0,1
K18442,0,0,0,0,0,1,0,1,1,0
K18443,0,0,0,1,0,1,0,0,1,0
K18465,2,0,0,0,1,0,0,0,0,0
K18467,0,0,0,1,0,1,0,0,0,1
K18470,0,0,0,0,0,1,2,0,0,0
K18471,0,0,0,0,0,0,2,0,0,1
K18478,0,0,0,0,0,2,0,1,0,0
K18549,0,0,0,0,0,1,2,0,0,0
K18568,0,0,2,0,0,1,0,0,0,0
K18604,0,0,0,0,2,0,0,0,1,0
K18647,0,0,0,0,0,0,2,1,0,0
K18678,0,0,0,0,0,0,2,0,0,1
K18692,2,0,0,1,0,0,0,0,0,0
K18700,2,0,0,0,0,0,0,0,1,0
K18727,2,0,0,0,1,0,0,0,0,0
K18783,0,0,0,0,0,0,2,1,0,0
K18820,0,0,0,0,1,0,2,0,0,0
K18916,0,0,2,0,0,0,0,1,0,0
K18926,0,0,0,0,0,0,2,1,0,0
K18930,0,0,2,0,0,0,0,1,0,0
K18967,0,0,0,0,0,1,0,1,0,1
K19002,0,0,0,0,1,0,0,2,0,0
K19031,2,0,0,0,0,1,0,0,0,0
K19036,0,0,0,0,0,3,0,0,0,0
K19055,0,0,0,0,0,1,0,0,1,1
K19061,2,0,0,1,0,0,0,0,0,0
K19069,2,0,0,0,0,1,0,0,0,0
K19119,2,0,0,0,0,1,0,0,0,0
K19124,0,0,1,0,0,1,0,1,0,0
K19128,0,0,2,0,1,0,0,0,0,0
K19135,0,0,0,1,0,0,2,0,0,0
K19169,2,0,0,1,0,0,0,0,0,0
K19172,0,0,0,0,1,1,0,1,0,0
K19180,0,0,0,0,0,0,2,1,0,0
K19191,0,0,2,1,0,0,0,0,0,0
K19195,0,0,0,0,1,0,0,1,1,0
K19271,0,0,0,1,0,0,0,2,0,0
K19302,0,0,2,1,0,0,0,0,0,0
K19312,0,0,0,0,2,0,0,0,1,0
K19341,0,0,1,0,2,0,0,0,0,0
K19480,0,0,0,0,1,0,2,0,0,0
K19498,0,0,0,0,0,1,2,0,0,0
K19527,0,0,0,0,1,1,0,1,0,0
K19577,0,1,1,0,0,1,0,0,0,0
K19584,0,0,0,1,1,0,0,1,0,0
K19623,0,0,0,2,0,1,0,0,0,0
K19680,0,0,0,0,1,2,0,0,0,0
K19704,0,0,0,0,1,1,0,0,1,0
K19710,0,0,0,0,1,0,0,2,0,0
K19978,0,0,0,0,0,1,0,2,0,0
K19998,2,0,0,0,0,1,0,0,0,0
K20037,0,1,0,0,0,0,0,2,0,0
K20049,0,0,0,0,0,3,0,0,0,0
K00006,0,0,1,0,0,1,0,0,0,0
K00025,0,0,0,0,1,0,0,1,0,0
K00026,0,0,0,2,0,0,0,0,0,0
K00043,0,1,0,0,0,1,0,0,0,0
K00045,0,0,0,2,0,0,0,0,0,0
K00084,0,0,0,0,0,0,2,0,0,0
K00085,2,0,0,0,0,0,0,0,0,0
K00100,0,0,0,0,0,1,0,1,0,0
K00132,0,0,0,1,0,0,0,0,1,0
K00157,0,0,0,0,0,0,2,0,0,0
K00180,0,0,0,0,0,0,0,1,0,1
K00213,0,0,2,0,0,0,0,0,0,0
K00222,2,0,0,0,0,0,0,0,0,0
K00232,0,0,0,0,0,0,0,1,0,1
K00243,2,0,0,0,0,0,0,0,0,0
K00270,0,0,0,0,2,0,0,0,0,0
K00273,0,0,2,0,0,0,0,0,0,0
K00276,2,0,0,0,0,0,0,0,0,0
K00314,2,0,0,0,0,0,0,0,0,0
